Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
0.000148,0.015065,-0.001648,0.000147,0.011242,-0.003937,-0.371909,-0.072113,-0.690623,-2.278153
-0.003576,0.071572,-0.689908,0.834705,-0.651183,-1.180475,9.518800,10.132203,29.871101,19.050478
-0.005507,-0.445086,0.202073,0.528466,-1.372006,5.042221,-0.152899,16.653913,0.274101,-29.701927
0.000141,-0.042675,0.042594,0.000093,-0.012614,0.005503,-0.376920,-0.069331,-0.694134,-2.327412
-0.003176,-0.406826,-0.233847,0.034859,0.124120,-1.584039,9.501692,9.945846,29.867817,19.200413
-0.005521,-0.017845,-0.692879,0.977558,-1.443423,4.951865,0.152402,16.754795,0.447083,-29.646608
0.000133,0.036149,0.004000,0.000079,-0.033120,0.014909,-0.381544,-0.066541,-0.697622,-2.376622
-0.002785,0.334332,0.671976,-0.795993,0.858058,-1.977636,9.474769,9.758292,29.863535,19.349970
-0.005505,0.017789,-0.274329,0.580516,-1.102006,4.830243,0.457542,16.853664,0.620050,-29.590700
0.000126,-0.028890,-0.042501,0.000112,-0.043961,0.024222,-0.385773,-0.063743,-0.701086,-2.425786
-0.002400,-0.183795,0.293645,-0.950403,1.316883,-2.358926,9.438004,9.569564,29.858259,19.499144
-0.005460,-0.434810,0.651991,-0.320470,-0.414980,4.678475,0.762204,16.950502,0.792996,-29.534199
0.000118,-0.018332,-0.007931,0.000157,-0.040814,0.033384,-0.389602,-0.060937,-0.704527,-2.474901
-0.002028,-0.228355,-0.649760,-0.318678,1.347046,-2.725693,9.391385,9.379682,29.851984,19.647923
-0.005385,0.247268,0.301581,-0.965773,0.405958,4.497835,1.066066,17.045298,0.965916,-29.477110
0.000111,0.041516,0.041702,0.000170,-0.024350,0.042342,-0.393023,-0.058124,-0.707945,-2.523968
-0.001672,0.272726,-0.329330,0.569571,0.961915,-3.075864,9.334905,9.188666,29.844715,19.796310
-0.005283,-0.296133,-0.651198,-0.842046,1.104480,4.289745,1.368806,17.138031,1.138803,-29.419436
0.000103,-0.048833,0.010135,0.000136,-0.000268,0.051042,-0.396033,-0.055304,-0.711339,-2.572983
-0.001331,-0.370510,0.627801,1.000823,0.309778,-3.407503,9.268574,8.996538,29.836449,19.944311
-0.005162,-0.261289,-0.368759,-0.051717,1.502935,4.055759,1.670097,17.228695,1.311653,-29.361179
0.000096,0.013025,-0.041200,0.000076,0.024072,0.059435,-0.398624,-0.052478,-0.714710,-2.621947
-0.001002,0.131974,0.388476,0.611647,-0.420636,-3.718821,9.192407,8.803319,29.827187,20.091921
-0.005019,0.272215,0.602534,0.771795,1.541855,3.797542,1.969613,17.317266,1.484459,-29.302343
0.000089,0.010549,-0.014035,0.000032,0.042795,0.067474,-0.400792,-0.049645,-0.718056,-2.670860
-0.000687,0.042822,-0.595632,-0.293862,-1.064409,-4.008183,9.106434,8.609032,29.816929,20.239128
-0.004848,-0.451693,0.394844,0.933472,1.251300,3.516864,2.267024,17.403740,1.657215,-29.242929
0.000082,-0.040426,0.039903,0.000036,0.052488,0.075115,-0.402532,-0.046805,-0.721379,-2.719720
-0.000395,-0.398534,-0.418148,-0.946705,-1.500124,-4.274102,9.010694,8.413698,29.805674,20.385939
-0.004653,0.016610,-0.595266,0.285948,0.713042,3.215584,2.562000,17.488098,1.829916,-29.182941
0.000076,0.038329,0.016063,0.000080,0.051887,0.082317,-0.403841,-0.043961,-0.724677,-2.768527
